ministry,sector,project_name,agency,sl_no,state,approval_date,start_date,target_doc,revised_doc,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,cost_overrun_pct,report_month
Ministry of Railways,Railways,"Lalitpur-Satna, Rewa-Singrauli & Mahoba-Khajuraho",(North Central Railway),605,Madhya Pradesh,01/2007,03/1998,03/2027,12/2027,8914.0,8914.0,6889.55,74.0,0.0,2026-06
Ministry of Railways,Railways,Indore - Budni New Railway Line [198 kms],(RVNL - II),609,Madhya Pradesh,08/2019,10/2020,09/2030,09/2030,7474.0,7474.0,2879.62,41.0,0.0,2026-06
Ministry of Railways,Railways,Nimach-Ratlam Doubling [133 Km],(Western Railway [WR] - II),610,Madhya Pradesh,10/2021,10/2021,10/2027,10/2027,1095.88,1095.88,1284.91,100.0,0.0,2026-06
Ministry of Railways,Railways,Solapur-tuljapur-Osmanabad,(Central Railway),630,Maharashtra,08/2018,12/2023,03/2027,03/2028,904.92,3295.74,1277.63,22.0,264.20236042965126,2026-06
Ministry of Railways,Railways,Wardha-Nanded Via Yavatmal New BG Line,(Central Railway [CR] - II),612,Maharashtra,12/2017,04/2008,03/2025,12/2026,3445.0,3445.0,3002.93,50.0,0.0,2026-06
Ministry of Railways,Railways,AURANGABAD-ANKAI - DOUBLING PROJECT 98.25 Km,(South Central Railway [SCR] - II),613,Maharashtra,05/2023,05/2023,03/2027,,960.64,960.64,1375.55,2.03,0.0,2026-06
Ministry of Railways,Railways,Gauge Conversion of Pachora-Jamner with Extension upto Malkapur [Bodwad] [84.34 Kms],(Central Railway [CR] - II),614,Maharashtra,08/2022,01/2026,07/2028,,955.39,955.39,13.99,10.0,0.0,2026-06
Ministry of Railways,Railways,Doubling of Katni - Singrauli Railway Line [261 km],(Indian Railway Construction International Limited [IRCON]),607,Madhya Pradesh,03/2016,03/2017,12/2025,12/2025,2445.0,4377.0,3368.46,81.25,79.01840490797547,2026-06
Ministry of Railways,Railways,Doubling between Parbhani Parli Vaijanath stations 64.71 Km,(South Central Railway [SCR] - II),617,Maharashtra,12/2023,12/2023,03/2028,,769.93,769.93,197.62,0.2,0.0,2026-06
Ministry of Railways,Railways,Babupeth - Sasti New Rail Line [13.114 KMs],(CentralRailway),618,Maharashtra,10/2024,10/2024,03/2028,,362.81,362.81,0.48,0.0,0.0,2026-06
Ministry of Railways,Railways,Double Chord line Between Nilaje-Kopar,(CentralRailway),619,Maharashtra,01/2025,01/2025,07/2028,,338.33,205.0,55.83,60.0,-39.40827003221706,2026-06
Ministry of Railways,Railways,DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS],(Central Railway),611,Maharashtra,01/2019,04/2023,12/2026,09/2027,492.76,1170.83,560.32,38.0,137.60654273885865,2026-06
Ministry of Railways,Railways,Baramati Lonand New Line Project,(Central Railway),621,Maharashtra,03/2016,03/1999,03/2027,03/2027,138.48,1843.9,1039.72,60.0,1231.5280184864243,2026-06
Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Guwahati Airport New Integrated Terminal Building Construction Project,(Adani Airport Holdings Limited),4,Assam,12/2016,03/2018,03/2025,06/2026,1712.0,2520.0,2670.23,99.5,47.19626168224299,2026-07
Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Development of New Civil Enclave at Bihta,(Airport Authority of India [AAI]),5,Bihar,08/2024,04/2025,03/2027,,1413.0,1413.0,15.53,4.15,0.0,2026-07
Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Development of New Civil Enclave and associated works at Darbhanga Airport,(Airport Authority of India [AAI]),6,Bihar,07/2024,07/2024,07/2026,11/2026,911.66,911.66,426.22,71.1,0.0,2026-07
Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",(Airport Authority of India [AAI]),7,Bihar,10/2018,10/2018,05/2026,08/2026,1216.9,1216.9,1203.48,99.26,0.0,2026-07
Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Development of Keshod Airport.,(Airport Authority of India [AAI]),8,Gujarat,01/2024,07/2025,01/2027,,363.1,363.1,108.64,46.69,0.0,2026-07
Ministry of Coal,Coal,TIRAP OCP,(INVALID CO.),27,Assam,11/2022,11/2022,11/2030,,289.46,289.46,105.66,5.0,0.0,2026-07
Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Development of Dholera International Greenfield Airport , Gujarat",(Airport Authority of India [AAI]),9,Gujarat,06/2022,07/2022,06/2026,09/2026,1305.0,1551.0,966.36,88.0,18.850574712643677,2026-07
Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New Terminal Building, Apron Extension, Runway Extension, PTT and allied works.",(Airport Authority of India [AAI]),22,Uttar Pradesh,07/2024,07/2024,07/2027,07/2027,2869.65,2869.65,746.93,33.0,0.0,2026-07
Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,(Airport Authority of India [AAI]),18,Rajasthan,06/2022,05/2023,03/2026,06/2026,480.0,480.0,348.2,100.0,0.0,2026-07
Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,(Airport Authority of India [AAI]),19,Rajasthan,06/2023,11/2023,03/2026,09/2026,887.0,887.0,587.22,78.71,0.0,2026-07
Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Development of New Integrated Civil Enclave at Agra Airport,(Airport Authority of India [AAI]),23,Uttar Pradesh,06/2024,07/2024,07/2026,11/2026,579.0,579.0,224.58,44.94,0.0,2026-07
Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Development of New Civil Enclave at Bagdogra Airport,(Airport Authority of India [AAI]),24,West Bengal,08/2024,09/2024,03/2027,03/2027,1549.0,1549.0,548.3,27.9,0.0,2026-07
Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and Strengthening of C Taxiway at NSCBI Airport Kolkata.",(Airport Authority of India [AAI]),25,West Bengal,03/2023,12/2023,10/2025,08/2026,328.3,328.3,153.52,73.5,0.0,2026-07
Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",(Airport Authority of India [AAI]),1,Andhra Pradesh,03/2023,01/2024,01/2026,09/2026,265.91,265.91,176.38,80.0,0.0,2026-07
Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,(Airport Authority of India [AAI]),12,Karnataka,06/2023,02/2024,02/2026,08/2026,322.45,322.45,240.99,97.0,0.0,2026-07
Ministry of Civil Aviation,Aviation & Aviation Infrastructure,C/o NITB Imphal Airport,(Airport Authority of India [AAI]),15,Manipur,11/2021,07/2022,07/2024,12/2026,499.0,499.0,212.17,53.14,0.0,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Madhya Ganga canal Phase-II,(Irrigation & Water Resources-UP),1774,Uttar Pradesh,04/2008,04/2008,12/2019,12/2025,1060.67,4417.21,4575.74,82.39,316.45469373132073,2026-07
Ministry of Coal,Coal,MADANNAGAR OCP 12 MTY - MDO,(SECL - CIL),41,Chhattisgarh,12/2024,12/2024,03/2033,,1859.19,1859.19,0.45,0.0,0.0,2026-07
Ministry of Coal,Coal,TIKAK EXTENSION OCP,(INVALID CO.),26,Assam,07/2022,07/2022,07/2031,,159.77,159.77,112.69,89.73,0.0,2026-07
Ministry of Coal,Coal,AMERA OC RCE [1.0 MTY],(SECL - CIL),32,Chhattisgarh,02/2015,02/2015,03/2026,,335.97,335.97,91.91,42.47,0.0,2026-07
Ministry of Coal,Coal,AMGAON OC RCE [1.0 MTY],(SECL - CIL),33,Chhattisgarh,07/2015,07/2015,03/2026,,316.11,316.11,193.0,78.86,0.0,2026-07
Ministry of Coal,Coal,JAGANNATHPUR OC RCE PROJECT,(SECL - CIL),34,Chhattisgarh,07/2016,07/2016,03/2025,03/2027,459.49,459.49,290.4,96.15,0.0,2026-07
Ministry of Coal,Coal,MAHAMAYA OCP [1.50 MTY],(SECL - CIL),35,Chhattisgarh,05/2018,05/2018,03/2026,03/2028,410.26,410.26,188.72,54.6,0.0,2026-07
Ministry of Coal,Coal,KATKONA RO UG MINE,(SECL - CIL),36,Chhattisgarh,01/2023,01/2023,03/2029,,329.21,329.21,62.01,2.01,0.0,2026-07
Ministry of Coal,Coal,BAROUD OC EXPANSION [3.0-10.0M,(SECL - CIL),29,Chhattisgarh,08/2020,08/2020,03/2029,,2309.8,2309.8,1039.65,55.95,0.0,2026-07
Ministry of Coal,Coal,PELMA OC MDO,(SECL - CIL),37,Chhattisgarh,10/2022,10/2022,03/2033,,1725.04,1725.04,16.71,23.75,0.0,2026-07
Ministry of Coal,Coal,GEVRA OC [70 MTY],(SECL - CIL),31,Chhattisgarh,03/2016,03/2016,03/2023,03/2027,11816.4,11816.4,7825.46,78.48,0.0,2026-07
Ministry of Coal,Coal,MANIKPUR OC EXPANSION PROJECT,(SECL - CIL),39,Chhattisgarh,01/2025,01/2025,03/2029,,382.61,382.61,138.87,21.29,0.0,2026-07
Ministry of Coal,Coal,HURA C OCP,(Eastern Coal Fields Limited [ECL]),42,Jharkhand,08/2022,08/2022,03/2029,,859.41,859.41,455.95,63.3,0.0,2026-07
Ministry of Coal,Coal,KONAR EXPANSION OCP,(CCL - CIL),43,Jharkhand,01/2022,01/2022,03/2032,,674.65,674.65,175.59,50.78,0.0,2026-07
Ministry of Coal,Coal,KARO EXPANSION OCP,(CCL - CIL),44,Jharkhand,01/2022,01/2022,03/2029,,849.31,849.31,237.61,23.28,0.0,2026-07
Ministry of Coal,Coal,SANGHMITRA OC,(CCL - CIL),45,Jharkhand,03/2024,03/2024,03/2032,,2660.0,2660.0,17.03,16.77,0.0,2026-07
Ministry of Coal,Coal,KUSMUNDA OC EXPANSION PROJECT,(SECL - CIL),38,Chhattisgarh,11/2024,11/2024,03/2030,,4516.88,4516.88,847.19,23.75,0.0,2026-07
Ministry of Coal,Coal,CHANDRAGUPT OCP,(CCL - CIL),46,Jharkhand,08/2020,08/2020,03/2032,,973.5,973.5,772.12,25.11,0.0,2026-07
Ministry of Coal,Coal,PORDA CHIMTAPANI OCP [10 MTY],(SECL - CIL),28,Chhattisgarh,12/2020,12/2020,03/2029,,2310.12,2310.12,118.97,11.81,0.0,2026-07
Ministry of Coal,Coal,RPR FOR DURGAPUR OCP 10 MTY,(SECL - CIL),40,Chhattisgarh,09/2025,09/2025,03/2032,,2415.91,2415.91,2.99,0.01,0.0,2026-07
Ministry of Power,Coal,Augmentation of Transformation Capacity at jam Khambhaliya PS [GIS] [SPV Name POWERGRID Jam Khambhaliya Transmission Limited],(Power Grid Corporation of India Limited [POWERGRID]),187,Gujarat,10/2024,10/2024,07/2026,04/2027,329.0,329.0,72.38,33.0,0.0,2026-07
Ministry of Coal,Coal,Pachwara South Coal Block,(NLC India Limited),48,Jharkhand,03/2016,11/2019,09/2028,,2242.9,2242.9,1432.45,87.0,0.0,2026-07
Ministry of Coal,Coal,RPR MAGADH EXP OCP,(Ministry of Coal),49,Jharkhand,08/2020,08/2020,03/2028,,6964.33,6964.33,2299.77,39.42,0.0,2026-07
Ministry of Coal,Coal,EPR ROHINI - KARKETTA OCP,(Ministry of Coal),51,Jharkhand,01/2021,01/2021,03/2028,,995.57,995.57,85.34,24.02,0.0,2026-07
Ministry of Coal,Coal,EPR PUNDI OCP,(Ministry of Coal),52,Jharkhand,11/2020,11/2020,03/2027,,639.6,639.6,14.78,11.24,0.0,2026-07
Ministry of Coal,Coal,EPR ASHOK OC,(Ministry of Coal),53,Jharkhand,05/2021,05/2021,03/2031,,2821.07,2821.07,186.02,27.74,0.0,2026-07
Ministry of Coal,Coal,EPR AMRAPALI OCP,(CCL - CIL),54,Jharkhand,02/2020,02/2020,03/2028,,4983.57,4983.57,1838.82,43.69,0.0,2026-07
Ministry of Coal,Coal,RAJRAPPA RCE OCP,(CCL - CIL),55,Jharkhand,12/2009,12/2009,03/2016,03/2027,510.85,510.85,488.71,75.61,0.0,2026-07
Ministry of Coal,Coal,CHITRA EAST OC,(ECL - CIL),56,Jharkhand,08/2018,08/2018,03/2026,03/2028,513.99,513.99,276.0,53.03,0.0,2026-07
Ministry of Coal,Coal,"Revised Jharia Master Plan for Dealing with Fire, Subsidence & Rehabilitation of affected families in Jharia Coalfield- Reg.",(Bharat Coking Coal Limited [BCCL]),67,Jharkhand,06/2025,07/2025,12/2028,,5940.47,5940.47,520.75,34.0,0.0,2026-07
Ministry of Coal,Coal,NORTH URIMARI EXPANSION OCP,(Ministry of Coal),50,Jharkhand,07/2021,07/2021,03/2029,,634.3,634.3,598.34,68.9,0.0,2026-07
Ministry of Coal,Coal,JHARKHAND-LAIYO OCP,(Ministry of Coal),57,Jharkhand,08/2020,08/2020,03/2031,,654.87,654.87,1.97,32.45,0.0,2026-07
Ministry of Coal,Coal,MURAIDIH UG PROJECT,(BCCL - CIL),60,Jharkhand,02/2011,02/2011,04/2014,12/2026,339.87,339.87,191.14,70.47,0.0,2026-07
Ministry of Coal,Coal,TAPIN SOUTH EXPN,(CCL - CIL),61,Jharkhand,11/2020,11/2020,03/2028,,230.41,230.41,22.02,23.67,0.0,2026-07
Ministry of Coal,Coal,SIRKA OC,(CCL - CIL),62,Jharkhand,05/2020,05/2020,03/2028,,183.18,183.18,89.92,56.47,0.0,2026-07
Ministry of Coal,Coal,TETARIAKHAR OC,(CCL - CIL),63,Jharkhand,11/2019,11/2019,03/2025,03/2027,232.64,232.64,50.82,30.06,0.0,2026-07
Ministry of Coal,Coal,CHUPERBHITA SIMLONG OCP MDO 6,(ECL - CIL),64,Jharkhand,12/2023,12/2023,03/2037,,979.08,979.08,0.0,0.05,0.0,2026-07
Ministry of Coal,Coal,DIPKA EXPANSION OCP [40 MTY],(SECL - CIL),30,Chhattisgarh,12/2020,12/2020,03/2029,,5241.4,5241.4,2941.23,39.34,0.0,2026-07
Ministry of Coal,Coal,JARANGDIH EXPN. OCP 1.5 MTY,(CCL - CIL),65,Jharkhand,02/2020,02/2020,03/2029,,372.06,372.06,85.6,32.99,0.0,2026-07
Ministry of Coal,Coal,AMALAGAMATED NTST KUJAMA OCP 8.5MTY,(Bharat Coking Coal Limited (BCCL)),59,Jharkhand,01/2023,01/2023,03/2030,,4011.85,4011.85,414.97,31.16,0.0,2026-07
Ministry of Coal,Coal,KOTRE BASANTPUR PACHMO OCP,(Ministry of Coal),47,Jharkhand,08/2020,08/2020,03/2032,,625.4,625.4,456.48,45.78,0.0,2026-07
Ministry of Coal,Coal,BLOCK E OCP,(BCCL - CIL),66,Jharkhand,03/2024,03/2024,03/2029,,5850.83,5850.83,20.32,4.18,0.0,2026-07
Ministry of Coal,Coal,SHARDA UG MINE,(WCL - CIL),78,Madhya Pradesh,07/2022,09/2023,03/2028,,166.25,166.25,5.93,9.39,0.0,2026-07
Ministry of Coal,Coal,BLOCK B EXPANSION [3.5 TO 8.0,(NCL - CIL),70,Madhya Pradesh,07/2019,07/2019,03/2023,03/2027,998.71,998.71,545.34,51.31,0.0,2026-07
Ministry of Coal,Coal,NIGAHI EXPANSION [15 TO 25 MTP,(NCL - CIL),71,Madhya Pradesh,11/2020,11/2020,03/2025,03/2028,1729.68,1729.68,985.35,53.73,0.0,2026-07
Ministry of Coal,Coal,KANCHAN OC EXP,(SECL - CIL),72,Madhya Pradesh,12/2014,12/2014,03/2026,03/2028,371.04,371.04,157.9,58.2,0.0,2026-07
Ministry of Coal,Coal,JHIRIA WEST OCP [1.5 MTY],(SECL - CIL),73,Madhya Pradesh,01/2024,01/2024,03/2029,,366.94,366.94,37.19,41.29,0.0,2026-07
Ministry of Coal,Coal,RPR TAWA-III UG 0.84 MTY,(WCL - CIL),74,Madhya Pradesh,12/2021,12/2021,03/2027,,314.09,314.09,17.9,17.78,0.0,2026-07
Ministry of Coal,Coal,AMALGAMATED DHANKASA & JAMUNIA,(WCL - CIL),75,Madhya Pradesh,09/2022,09/2022,03/2027,,399.2,399.2,117.2,67.13,0.0,2026-07
Ministry of Coal,Coal,RPR OF VISHNUPURI UG TO OC,(WCL - CIL),76,Madhya Pradesh,11/2022,11/2022,03/2029,,220.62,220.62,0.0,11.2,0.0,2026-07
Ministry of Coal,Coal,North Dhadu Western Part OCP,(NLC India Limited [NLCIL]),68,Jharkhand,10/2023,12/2023,03/2029,,1354.2,1354.2,233.77,40.0,0.0,2026-07
Ministry of Coal,Coal,AMADAND OCP[4.0MTY],(SECL - CIL),69,Madhya Pradesh,03/2016,03/2016,03/2021,03/2027,869.44,869.44,325.09,75.15,0.0,2026-07
Ministry of Coal,Coal,GANDHIGRAM UG MINE,(WCL - CIL),79,Madhya Pradesh,08/2019,08/2019,03/2026,03/2027,414.15,414.15,28.54,56.88,0.0,2026-07
Ministry of Coal,Coal,JAYANT EXPN. [20 TO 38 MTPA],(NCL - CIL),80,Madhya Pradesh,02/2025,02/2025,03/2032,,25560.48,25560.48,333.3,2.1,0.0,2026-07
Ministry of Coal,Coal,RPR FOR RAMPUR BATURA OCP,(SECL - CIL),81,Madhya Pradesh,05/2025,05/2025,03/2030,,1604.69,1604.69,75.28,0.3,0.0,2026-07
Ministry of Coal,Coal,BHATADI EXPANSION OC,(WCL - CIL),82,Maharashtra,02/2020,05/2022,03/2028,,580.61,580.61,112.17,34.25,0.0,2026-07
Ministry of Coal,Coal,AMALGAMATED YEKONA I & YEKONA,(WCL - CIL),83,Maharashtra,08/2015,08/2015,03/2025,03/2027,727.28,727.28,564.25,80.77,0.0,2026-07
Ministry of Coal,Coal,DINESH[MAKARDHOKRA-III] OC,(WCL - CIL),84,Maharashtra,02/2020,02/2020,03/2027,,822.88,822.88,792.0,40.63,0.0,2026-07
Ministry of Coal,Coal,DHUPTALA OC [SASTI UG TO OC ],(WCL - CIL),85,Maharashtra,02/2019,10/2021,03/2028,,711.01,711.01,174.66,19.02,0.0,2026-07
Ministry of Coal,Coal,URDHAN EXPANSION OC COST PLUS,(WCL - CIL),77,Madhya Pradesh,07/2022,01/2023,03/2031,,206.88,206.88,50.69,2.02,0.0,2026-07
Ministry of Coal,Coal,SAONER UG MINE -1 EXPANSION 1.,(WCL - CIL),86,Maharashtra,01/2022,01/2022,03/2028,,228.64,228.64,157.01,69.33,0.0,2026-07
Ministry of Coal,Coal,RPR OF BHANEGAON OC,(WCL - CIL),98,Maharashtra,02/2017,09/2022,03/2028,,405.2,405.2,43.16,16.06,0.0,2026-07
Ministry of Coal,Coal,NEW MAJRI UG TO OC 3 MTY COST,(WCL - CIL),88,Maharashtra,05/2019,09/2022,03/2027,,402.27,402.27,67.81,24.17,0.0,2026-07
Ministry of Coal,Coal,SINGHORI DEEP OC MIN 2.0 MTY,(WCL - CIL),90,Maharashtra,05/2022,05/2022,03/2029,,335.75,335.75,53.94,9.64,0.0,2026-07
Ministry of Coal,Coal,GOKUL EXTENSION OC MINE,(WCL - CIL),91,Maharashtra,04/2021,04/2021,03/2026,03/2027,309.58,309.58,62.31,8.44,0.0,2026-07
Ministry of Coal,Coal,KOLGAON EXPANSION DEEP OC MINE,(WCL - CIL),92,Maharashtra,01/2023,09/2023,03/2027,,198.71,198.71,25.08,3.93,0.0,2026-07
Ministry of Coal,Coal,BALLARPUR NORTH WEST OC MINE,(WCL - CIL),93,Maharashtra,12/2022,12/2022,03/2029,,360.81,360.81,26.97,5.35,0.0,2026-07
Ministry of Coal,Coal,GADEGAON OC 3 MTY,(WCL - CIL),94,Maharashtra,10/2023,10/2023,03/2030,,497.41,497.41,95.69,2.19,0.0,2026-07
Ministry of Coal,Coal,GHONSA EXPANSION DEEP OC MINE,(WCL - CIL),95,Maharashtra,03/2021,04/2021,03/2029,,184.71,184.71,15.72,12.98,0.0,2026-07
Ministry of Coal,Coal,AMLG GAURI PAUNI EXPANSION OC,(WCL - CIL),96,Maharashtra,04/2024,04/2024,03/2030,,1225.21,1225.21,92.02,4.21,0.0,2026-07
Ministry of Coal,Coal,KOLARPIMPRI EXPANSION OC [2.5,(WCL - CIL),106,Maharashtra,06/2024,02/2025,03/2030,,630.37,630.37,0.61,0.4,0.0,2026-07
Ministry of Coal,Coal,Kakatiyakhani OC - 2 Project,(Singareni Collieries Company Limited [SCCL]),128,Telangana,08/2017,09/2017,03/2025,03/2026,442.42,442.42,253.41,64.0,0.0,2026-07
Ministry of Coal,Coal,N. EXTN. MUNGOLI NIRGUDA D OCP,(WCL - CIL),99,Maharashtra,06/2024,06/2024,03/2029,,1024.91,1024.91,218.26,27.92,0.0,2026-07
Ministry of Coal,Coal,NILJAI EXPANSION DEEP OCP,(WCL - CIL),100,Maharashtra,08/2016,08/2016,03/2022,03/2027,319.75,319.75,196.82,79.83,0.0,2026-07
Ministry of Coal,Coal,UKNI DEEP OC MINE -COST PLUS,(WCL - CIL),101,Maharashtra,11/2018,01/2019,03/2021,03/2027,237.06,237.06,168.91,94.57,0.0,2026-07
Ministry of Coal,Coal,AMALGAMATED INDER-KAMPTEE DEEP,(WCL - CIL),102,Maharashtra,09/2018,09/2018,03/2024,03/2027,235.9,235.9,128.49,98.97,0.0,2026-07
Ministry of Coal,Coal,ADASA UG TO OC MINE,(WCL - CIL),103,Maharashtra,11/2018,11/2018,03/2024,03/2027,316.0,316.0,209.29,86.49,0.0,2026-07
Ministry of Coal,Coal,AMAL GONDEGAON GHATROHANA EXPN,(WCL - CIL),104,Maharashtra,09/2024,09/2024,03/2029,,668.54,668.54,2.95,2.55,0.0,2026-07
Ministry of Coal,Coal,WAGHODA UG MINE [1.02 MTY],(WCL - CIL),105,Maharashtra,01/2024,01/2025,03/2030,,379.3,379.3,0.0,0.11,0.0,2026-07
Ministry of Coal,Coal,GAURIDEEP/GAURI CENTRAL OCP 7.,(WCL - CIL),97,Maharashtra,08/2023,06/2024,03/2030,,973.07,973.07,1.55,2.31,0.0,2026-07
Ministry of Coal,Coal,MOHANPUR EXPANSION OC -PHASE I,(Eastern Coal Fields Limited [ECL]),129,West Bengal,11/2020,11/2020,03/2026,03/2030,888.99,888.99,153.96,31.52,0.0,2026-07
Ministry of Coal,Coal,SAONER-III EXPN UG MINE 1.54,(WCL - CIL),107,Maharashtra,08/2025,08/2025,03/2032,,444.42,444.42,0.0,0.0,0.0,2026-07
Ministry of Coal,Coal,BALARAM EXPANSION OCP,(Mahanadi Coalfields Limited [MCL]),112,Odisha,08/2020,08/2020,03/2029,,3504.21,3504.21,963.81,62.06,0.0,2026-07
Ministry of Coal,Coal,MOONIDIH XV SEAM UG,(BCCL - CIL),58,Jharkhand,08/2011,08/2011,03/2019,09/2026,1230.27,1230.27,800.25,84.02,0.0,2026-07
Ministry of Coal,Coal,GOPALJI KANIHA OCP [10 TO 30 M,(MCL - CIL),113,Odisha,04/2022,04/2022,03/2030,,8416.19,6107.87,1777.54,35.8,-27.42713745768573,2026-07
Ministry of Coal,Coal,INTEGRATED LAKHANPUR-BELPAHAR-,(MCL - CIL),114,Odisha,05/2018,05/2018,03/2027,,2434.75,2434.75,2133.7,82.9,0.0,2026-07
Ministry of Coal,Coal,BHARATPUR RE-ORGANIZATION OCP,(MCL - CIL),115,Odisha,11/2018,11/2018,03/2029,,2838.86,2838.86,1716.58,53.54,0.0,2026-07
Ministry of Coal,Coal,Naini Coal Mine,(Singareni Collieries Company Limited [SCCL]),116,Odisha,03/2020,03/2020,03/2026,,494.3,494.3,491.33,80.0,0.0,2026-07
Ministry of Coal,Coal,INTEGRATED KULDA GARJANBAHAL O,(MCL - CIL),117,Odisha,04/2023,04/2023,03/2033,,3563.5,3563.5,692.76,10.43,0.0,2026-07
Ministry of Coal,Coal,BHUBANESWARI EXPN OCP 50 MTY,(MCL - CIL),118,Odisha,03/2024,03/2024,03/2033,,5366.27,5366.27,477.73,34.03,0.0,2026-07
Ministry of Coal,Coal,SIARMAL OCP,(Mahanadi Coalfields Limited [MCL]),111,Odisha,02/2021,02/2021,03/2029,,5194.95,5194.95,3543.45,61.04,0.0,2026-07
Ministry of Coal,Coal,HINGULA II OC EXPN PH III 15 M,(MCL - CIL),119,Odisha,11/2022,11/2022,03/2029,,1561.85,1561.85,284.22,33.55,0.0,2026-07
Ministry of Coal,Coal,Talabira II & III OCP - FMC,(NLC India Limited [NLCIL]),121,Odisha,10/2022,05/2023,06/2026,12/2026,522.45,522.45,334.44,74.8,0.0,2026-07
Ministry of Coal,Coal,Jawahar Khani Open Cast Mine,(Singareni Collieries Company Limited [SCCL]),122,Telangana,12/2021,12/2021,03/2025,03/2027,297.88,297.88,50.39,20.0,0.0,2026-07
Ministry of Coal,Coal,Kalyanikhani Opencast Project,(Singareni Collieries Company Limited [SCCL]),123,Telangana,03/2016,05/2017,03/2026,,384.32,384.32,304.39,77.0,0.0,2026-07
Ministry of Coal,Coal,Godavarikhani Coal Mine - 5,(Singareni Collieries Company Limited [SCCL]),124,Telangana,07/2019,05/2019,03/2025,03/2026,607.04,607.04,201.0,71.0,0.0,2026-07
Ministry of Coal,Coal,Indaram Opencast Project,(Singareni Collieries Company Limited [SCCL]),125,Telangana,08/2017,12/2022,03/2025,03/2026,424.81,424.81,408.69,81.0,0.0,2026-07
Ministry of Coal,Coal,Goleti Opencast Mine,(Singareni Collieries Company Limited [SCCL]),126,Telangana,07/2021,08/2021,03/2026,,345.6,345.6,111.94,33.0,0.0,2026-07
Ministry of Coal,Coal,Venkatesh Khani Coal Mine,(Singareni Collieries Company Limited [SCCL]),127,Telangana,10/2020,06/2020,03/2026,,484.5,484.5,477.14,97.0,0.0,2026-07
Ministry of Coal,Coal,BALABHADRA OCP,(MCL - CIL),120,Odisha,04/2023,04/2023,03/2030,,978.44,978.44,461.54,18.93,0.0,2026-07
Ministry of Coal,Coal,SASTI EXPANSION OPENCAST,(WCL - CIL),87,Maharashtra,08/2020,08/2020,03/2026,03/2027,319.04,319.04,155.37,32.21,0.0,2026-07
Ministry of Coal,Coal,BONJEMEHARI EXPANSION OCP,(Eastern Coal Fields Limited [ECL]),130,West Bengal,08/2021,08/2021,03/2026,03/2030,570.11,570.11,98.58,17.13,0.0,2026-07
Ministry of Power,Coal,"Koderma Thermal Power Station Phase II [2X800 MW] At Koderma, Jharkhand",(Damodar Valley Corporation),167,Jharkhand,04/2023,11/2024,07/2029,,14358.0,14358.0,2229.31,14.3,0.0,2026-07
Ministry of Coal,Coal,JHANJRA EXPANSION UG,(Eastern Coal Fields Limited [ECL]),133,West Bengal,04/2020,04/2020,03/2029,,1210.12,1210.12,633.57,52.04,0.0,2026-07
Ministry of Coal,Coal,SONEPUR BAZARI EXPANSION OCP [,(Eastern Coal Fields Limited [ECL]),134,West Bengal,07/2021,07/2021,03/2029,,5365.88,5365.88,697.64,18.5,0.0,2026-07
Ministry of Coal,Coal,ITAPARA OCP,(Eastern Coal Fields Limited [ECL]),135,West Bengal,12/2023,12/2023,03/2030,,929.1,929.1,132.43,8.41,0.0,2026-07
Ministry of Coal,Coal,SHYAMSUNDARPUR UG INCLUDING SA,(ECL - CIL),136,West Bengal,04/2020,04/2020,03/2026,03/2028,483.65,483.65,96.8,16.79,0.0,2026-07
Ministry of Coal,Coal,PARASEA-BELBAID UG PROJECT,(ECL - CIL),137,West Bengal,01/2023,01/2023,03/2028,,389.1,389.1,132.48,22.26,0.0,2026-07
Ministry of Coal,Coal,PARASCOLE JAMBAD OCP,(ECL - CIL),138,West Bengal,11/2024,11/2024,03/2037,,1193.55,1193.55,11.81,0.23,0.0,2026-07
